10:38:56.554 [main] INFO  Main - null
10:38:56.621 [main] INFO  pharmacy.CustomLinkedList - Medicine{medicineId='M453456', name='Paracetamol', type='OVERTHECOUNTER', company='PNC Pharmacy', description='Pain reliever', price=12.3} 
10:38:56.642 [main] INFO  Main - Receipt Details=[Receipt{saleCustomer=Customer{Person ID=ebb01ca3-7cef-45f3-aab7-2bd1c9cadeeb Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, saleEmployee=Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}, medicines=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], total=38.7}]
10:38:56.643 [main] INFO  Main - Employee:[Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}]
10:38:56.643 [main] INFO  Main - Customer:[Customer{Person ID=ebb01ca3-7cef-45f3-aab7-2bd1c9cadeeb Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, Customer{Person ID=e471ee32-e880-4cfb-b018-c6504e7743e3 Legal Name='Lilyana Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}]
10:38:56.644 [main] INFO  Main - Doctor:[Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}]
10:38:56.645 [main] INFO  Main - [Receipt{saleCustomer=Customer{Person ID=ebb01ca3-7cef-45f3-aab7-2bd1c9cadeeb Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, saleEmployee=Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}, medicines=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], total=38.7}]
10:38:56.650 [main] INFO  Main - Prescription{number=34512, medicineList=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], quantity=2, prescriptionDosage='Morning and Night after food', doctor=Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}, customer=Customer{Person ID=ebb01ca3-7cef-45f3-aab7-2bd1c9cadeeb Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}}
10:38:56.651 [main] INFO  Main - Prescription{number=34512, medicineList=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], quantity=2, prescriptionDosage='Morning and Night after food', doctor=Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}, customer=Customer{Person ID=ebb01ca3-7cef-45f3-aab7-2bd1c9cadeeb Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}}
10:38:56.651 [main] INFO  Main - Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}
10:40:36.831 [main] INFO  Main - null
10:40:36.908 [main] INFO  pharmacy.CustomLinkedList - Medicine{medicineId='M453456', name='Paracetamol', type='OVERTHECOUNTER', company='PNC Pharmacy', description='Pain reliever', price=12.3} 
10:40:36.942 [main] INFO  Main - Receipt Details=[Receipt{saleCustomer=Customer{Person ID=0fbea171-3210-402c-919b-79de85be179a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, saleEmployee=Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}, medicines=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], total=38.7}]
10:40:36.942 [main] INFO  Main - Employee:[Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}]
10:40:36.943 [main] INFO  Main - Customer:[Customer{Person ID=0fbea171-3210-402c-919b-79de85be179a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, Customer{Person ID=ebfeb09d-69dd-4873-a6fa-52b1e8b50f77 Legal Name='Lilyana Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}]
10:40:36.943 [main] INFO  Main - Doctor:[Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}]
10:40:36.944 [main] INFO  Main - [Receipt{saleCustomer=Customer{Person ID=0fbea171-3210-402c-919b-79de85be179a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, saleEmployee=Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}, medicines=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], total=38.7}]
10:40:36.951 [main] INFO  Main - Prescription{number=34512, medicineList=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], quantity=2, prescriptionDosage='Morning and Night after food', doctor=Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}, customer=Customer{Person ID=0fbea171-3210-402c-919b-79de85be179a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}}
10:40:36.951 [main] INFO  Main - Prescription{number=34512, medicineList=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], quantity=2, prescriptionDosage='Morning and Night after food', doctor=Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}, customer=Customer{Person ID=0fbea171-3210-402c-919b-79de85be179a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}}
10:40:36.951 [main] INFO  Main - Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}
10:42:27.671 [main] INFO  Main - null
10:42:27.731 [main] INFO  pharmacy.CustomLinkedList - Medicine{medicineId='M453456', name='Paracetamol', type='OVERTHECOUNTER', company='PNC Pharmacy', description='Pain reliever', price=12.3} 
10:42:27.750 [main] INFO  Main - Receipt Details=[Receipt{saleCustomer=Customer{Person ID=3e5e727f-d75a-4f0a-b25e-be48815614e4 Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, saleEmployee=Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}, medicines=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], total=38.7}]
10:42:27.752 [main] INFO  Main - Employee:[Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}]
10:42:27.752 [main] INFO  Main - Customer:[Customer{Person ID=3e5e727f-d75a-4f0a-b25e-be48815614e4 Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, Customer{Person ID=69692c23-31ed-4bed-b639-25e3c4133c13 Legal Name='Lilyana Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}]
10:42:27.752 [main] INFO  Main - Doctor:[Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}]
10:42:27.753 [main] INFO  Main - [Receipt{saleCustomer=Customer{Person ID=3e5e727f-d75a-4f0a-b25e-be48815614e4 Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, saleEmployee=Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}, medicines=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], total=38.7}]
10:42:27.760 [main] INFO  Main - Prescription{number=34512, medicineList=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], quantity=2, prescriptionDosage='Morning and Night after food', doctor=Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}, customer=Customer{Person ID=3e5e727f-d75a-4f0a-b25e-be48815614e4 Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}}
10:42:27.760 [main] INFO  Main - Prescription{number=34512, medicineList=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], quantity=2, prescriptionDosage='Morning and Night after food', doctor=Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}, customer=Customer{Person ID=3e5e727f-d75a-4f0a-b25e-be48815614e4 Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}}
10:42:27.761 [main] INFO  Main - Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}
10:54:10.816 [main] INFO  Main - null
10:54:10.919 [main] INFO  pharmacy.CustomLinkedList - Medicine{medicineId='M453456', name='Paracetamol', type='OVERTHECOUNTER', company='PNC Pharmacy', description='Pain reliever', price=12.3} 
10:54:10.948 [main] INFO  Main - Receipt Details=[Receipt{saleCustomer=Customer{Person ID=a7f46731-1221-465e-b02f-578302f1fd3a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, saleEmployee=Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}, medicines=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], total=38.7}]
10:54:10.948 [main] INFO  Main - Employee:[Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}]
10:54:10.948 [main] INFO  Main - Customer:[Customer{Person ID=a7f46731-1221-465e-b02f-578302f1fd3a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, Customer{Person ID=b4654e6e-6f16-440a-a79d-2c7ab12fdc24 Legal Name='Lilyana Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}]
10:54:10.949 [main] INFO  Main - Doctor:[Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}]
10:54:10.950 [main] INFO  Main - [Receipt{saleCustomer=Customer{Person ID=a7f46731-1221-465e-b02f-578302f1fd3a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}, saleEmployee=Employee{Legal Name= KimGender='FemaleDate of Birth='Sun Apr 02 00:00:00 EST 2000Phone No='2349887453Address=23 Riverview Dr, New Jerseydesignation='pharmacist', salary=3000.0}, medicines=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], total=38.7}]
10:54:10.958 [main] INFO  Main - Prescription{number=34512, medicineList=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], quantity=2, prescriptionDosage='Morning and Night after food', doctor=Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}, customer=Customer{Person ID=a7f46731-1221-465e-b02f-578302f1fd3a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}}
10:54:10.959 [main] INFO  Main - Prescription{number=34512, medicineList=[Medicine{medicineId='M34528', name='Tylenol', type='PRESCRIPTION', company='MDC laboratories', description='Generic for age 13+', price=23.0}, Medicine{medicineId='M34567', name='Paracetamol', type='OVERTHECOUNTER', company='TI lab', description='for ages 15+', price=13.0}], quantity=2, prescriptionDosage='Morning and Night after food', doctor=Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}, customer=Customer{Person ID=a7f46731-1221-465e-b02f-578302f1fd3a Legal Name='Lilly Gender='Female Date of Birth='Sat Apr 11 00:00:00 EDT 2020 Phone No='4132246155 Address=23 Riviera Dr, Main St, NewJersey}}
10:54:10.959 [main] INFO  Main - Doctor{Legal Name='SeegolGender='MaleDate of Birth='Sun Mar 12 00:00:00 EST 1989Phone No='4132458796Address=61 Riverview Ave, New JerseydoctorType='Surgeon}
12:18:23.235 [main] INFO  Main - null
12:18:23.324 [main] INFO  pharmacy.CustomLinkedList - Medicine{medicineId='M453456', name='Paracetamol', type='OVERTHECOUNTER', company='PNC Pharmacy', description='Pain reliever', price=12.3} 
